Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC109160091,8.150806373,-2.342543489,0.495002379,-4.73238834,2.22E-06,0.006286908
LOC109172717,44.14686836,-1.952543711,0.419867066,-4.650385492,3.31E-06,0.006286908
LOC109180570,18.45178077,2.124077909,0.458335318,4.634331733,3.58E-06,0.006286908
LOC109158080,7.161530882,1.655469569,0.375796302,4.405231139,1.06E-05,0.009184292
LOC109168050,9.809237122,0.966325935,0.223752863,4.318719873,1.57E-05,0.009184292
LOC109176149,5.932864585,1.769271039,0.408946607,4.326410857,1.52E-05,0.009184292
LOC109188952,58.00120071,-1.778307683,0.404341279,-4.398036446,1.09E-05,0.009184292
LOC109192937,24.13919039,-0.735409072,0.168439141,-4.366022463,1.27E-05,0.009184292
LOC109194046,11.47424608,1.549612942,0.345407397,4.48633398,7.25E-06,0.009184292
LOC109165498,6.568698127,-1.408180495,0.330038737,-4.266712779,1.98E-05,0.009498522
LOC109167617,19.2395429,-1.277445609,0.299092666,-4.27106966,1.95E-05,0.009498522
LOC109155915,16.58492999,0.877117479,0.211894309,4.139410264,3.48E-05,0.012755752
LOC109167153,8.767975978,1.145787353,0.275909735,4.152761593,3.28E-05,0.012755752
LOC109180325,9.765098631,-1.689347426,0.409074985,-4.129676678,3.63E-05,0.012755752
LOC109187277,7.739291785,1.56171714,0.377381174,4.138301662,3.50E-05,0.012755752
LOC109183475,17.69002467,0.700153095,0.171939095,4.072099456,4.66E-05,0.014435074
LOC109183760,14.45284057,1.080907701,0.265340459,4.073663339,4.63E-05,0.014435074
LOC109148035,3.936491355,1.420060982,0.350024904,4.057028412,4.97E-05,0.014543076
LOC109170623,5.963314972,1.273767559,0.315843844,4.032902915,5.51E-05,0.015272095
LOC109163817,7.338074289,-1.440673938,0.359682385,-4.005405878,6.19E-05,0.016304284
LOC109156417,11.09966174,1.048934461,0.26479737,3.961272196,7.46E-05,0.017072291
LOC109164794,6.360465103,-2.246457176,0.566353331,-3.966529468,7.29E-05,0.017072291
LOC109185825,362.5716873,-0.947100412,0.23824632,-3.975299233,7.03E-05,0.017072291
LOC109151380,18.27794745,0.835750457,0.21279922,3.927413169,8.59E-05,0.018843659
LOC109159066,67.37620027,1.063001583,0.271843319,3.910346546,9.22E-05,0.018977684
LOC109182241,9.042988201,1.69532562,0.433986689,3.906400042,9.37E-05,0.018977684
LOC109159804,3.848681298,1.056462138,0.271911801,3.885311829,0.000102199,0.019283996
LOC109181999,7.518567574,-2.456181424,0.632293591,-3.884558466,0.000102516,0.019283996
LOC109192494,12.43640848,-1.21918253,0.315274883,-3.867046175,0.000110162,0.020007621
LOC109186906,12.22823027,1.138505238,0.295045728,3.858741648,0.000113972,0.020009744
LOC109157151,104.8583157,-1.027914344,0.269811839,-3.809745142,0.00013911,0.021549793
LOC109169901,17.66565706,1.054723375,0.276457613,3.815135943,0.000136108,0.021549793
LOC109179907,7.767320166,1.053755448,0.276184815,3.815399649,0.000135963,0.021549793
LOC109187939,42.57858582,-1.014839598,0.265070625,-3.828563033,0.000128894,0.021549793
LOC109164952,48.72991873,-1.024584461,0.270492037,-3.787854424,0.000151954,0.021630834
LOC109171536,7.31330033,0.937672945,0.247495139,3.788651963,0.000151467,0.021630834
LOC109178949,24.11737271,-1.12397223,0.296197804,-3.794667668,0.000147841,0.021630834
LOC109157860,10.03964182,-0.903379519,0.240474508,-3.756653987,0.0001722,0.022674478
LOC109169775,62.12717436,-1.066045389,0.283368426,-3.762047189,0.000168528,0.022674478
LOC109173937,25.95535558,0.937483889,0.24906527,3.764008883,0.000167211,0.022674478
LOC109167537,14.35923741,-0.964455461,0.258576898,-3.72985935,0.000191587,0.02461188
LOC109168883,14.10247299,-1.06156667,0.285939748,-3.712553704,0.000205179,0.025726578
LOC109180552,20.26110623,-1.025153989,0.27657282,-3.706633169,0.000210033,0.025726578
LOC109165031,19.3061002,-0.882930217,0.239485013,-3.68678694,0.000227103,0.026581185
LOC109172760,30.02421067,-0.901836391,0.244578177,-3.687313401,0.000226634,0.026581185
LOC109188428,13.18167272,0.858051106,0.233876743,3.668817573,0.000243675,0.027900773
LOC109147765,16.14896113,-1.003842293,0.275193042,-3.647774974,0.000264521,0.028574075
LOC109172010,4.652706287,2.351592169,0.645914091,3.640719722,0.000271877,0.028574075
LOC109176723,4.657046822,1.445863513,0.396596627,3.645677781,0.000266688,0.028574075
LOC109178052,12.1633064,-1.040251139,0.28476416,-3.653026909,0.000259167,0.028574075
LOC109193595,36.14936413,0.874269597,0.240434421,3.636208129,0.000276681,0.028574075
LOC109192201,27.62785911,0.705599534,0.194686087,3.624293575,0.000289752,0.029348568
LOC109152312,44.02772079,0.701870374,0.194611847,3.606514114,0.000310338,0.030158978
LOC109156686,3.817975155,1.809512542,0.502706447,3.599541152,0.000318779,0.030158978
LOC109174117,123.0232352,-0.585276837,0.162666677,-3.598013121,0.000320657,0.030158978
LOC109181661,19.46286325,-2.448748089,0.678759399,-3.607682031,0.000308945,0.030158978
LOC109149743,7.678614819,-1.796734562,0.501941736,-3.579567973,0.000344163,0.031801843
LOC109162128,10.33486563,-2.185831612,0.61396144,-3.560209927,0.000370558,0.031995595
LOC109168552,8.259820763,1.304020452,0.366125151,3.561679518,0.00036849,0.031995595
LOC109170458,17.26184341,1.013852399,0.284476289,3.563925843,0.000365349,0.031995595
LOC109180076,8.181450071,1.086615878,0.304126635,3.572905991,0.000353042,0.031995595
LOC109153033,7.636275765,1.257234827,0.35537517,3.53776778,0.000403525,0.032045229
LOC109162039,11.91238909,-0.992023054,0.279634027,-3.547576333,0.000388793,0.032045229
LOC109168058,5.307159865,1.265165459,0.357556957,3.538360631,0.00040262,0.032045229
LOC109172908,34.65712848,-1.823394851,0.514993707,-3.540615789,0.000399194,0.032045229
LOC109181112,16.72410267,-0.763378078,0.214973677,-3.551030482,0.000383726,0.032045229
LOC109189243,6.153802141,-1.13366485,0.320689217,-3.535088775,0.000407638,0.032045229
LOC109175749,31.67215667,-0.707884568,0.200870829,-3.524078483,0.000424958,0.032915525
LOC109183598,3.931811013,1.850824308,0.526315853,3.516565758,0.000437168,0.033370518
LOC109191226,20.48350591,-1.191763394,0.340448178,-3.5005721,0.000464261,0.034932297
LOC109158288,24.19504228,1.266401447,0.362226584,3.496158211,0.000472009,0.035015072
LOC109163150,13.92480041,1.053609656,0.303101884,3.476090746,0.00050878,0.035064286
LOC109172057,78.21309048,0.721954798,0.207494004,3.479400779,0.000502536,0.035064286
LOC109172655,7.801662199,-1.647480352,0.473186063,-3.48167556,0.000498287,0.035064286
LOC109181896,7.445852223,-3.07580563,0.885359403,-3.474075748,0.000512616,0.035064286
LOC109183947,7.0923196,1.094838673,0.314825678,3.477602837,0.000505919,0.035064286
LOC109186589,7.694820733,-1.050932488,0.301220697,-3.488911942,0.000484991,0.035064286
LOC109156868,8.945542321,1.140894276,0.32882453,3.469614257,0.000521206,0.035194791
LOC109150355,5.247711392,0.949098001,0.27470625,3.454955973,0.000550383,0.03623582
LOC109191626,6.883439343,0.939566311,0.271815384,3.456634045,0.000546967,0.03623582
LOC109149221,21.2896551,-0.83982145,0.24440756,-3.43615169,0.000590041,0.03772267
LOC109168506,18.40760172,-1.095438881,0.318638817,-3.437870165,0.000586309,0.03772267
LOC109180039,135.7586635,-0.62139044,0.180945365,-3.434132951,0.000594453,0.03772267
LOC109180457,3.987124572,-1.413425167,0.41217224,-3.429210003,0.000605341,0.037956319
LOC109161952,9.310886011,-1.000999985,0.293369596,-3.412078143,0.000644696,0.039611404
LOC109177643,19.91511831,-1.503175406,0.44110647,-3.407738289,0.000655037,0.039611404
LOC109187445,17.05186894,-0.753010304,0.220985983,-3.407502559,0.000655603,0.039611404
LOC109190241,23.14533233,-0.723977813,0.212626585,-3.404926126,0.00066182,0.039611404
LOC109147685,6.513429528,1.297206524,0.382583359,3.390650673,0.000697269,0.040261163
LOC109149405,8.977321498,-1.567426208,0.462598466,-3.388308273,0.000703252,0.040261163
LOC109159324,28.65542186,-1.045926904,0.308685693,-3.388323228,0.000703213,0.040261163
LOC109190828,69.82524842,0.746452282,0.220235412,3.389338139,0.000700616,0.040261163
LOC109184042,10.08501235,-1.838475725,0.543361892,-3.383519806,0.00071563,0.040529308
LOC109148017,21.34184036,-1.432259946,0.429579865,-3.334094685,0.000855775,0.04063062
LOC109153320,7.298027486,1.195230036,0.356374857,3.353856231,0.000796938,0.04063062
LOC109159034,17.33987134,-0.930076789,0.2760031,-3.369805587,0.000752212,0.04063062
LOC109164597,14.25221701,-1.407859134,0.418693797,-3.362502969,0.000772393,0.04063062
LOC109164886,5.877814798,-1.031684283,0.308590119,-3.343218787,0.000828126,0.04063062
LOC109165452,16.12712988,0.72580399,0.217702073,3.333932386,0.000856275,0.04063062
LOC109166716,101.6314087,1.724522381,0.515890363,3.342807902,0.000829353,0.04063062
LOC109173690,8.760879592,1.289109128,0.385735298,3.341952715,0.000831912,0.04063062
LOC109176163,6.534850249,0.90582216,0.271276193,3.339114101,0.00084046,0.04063062
LOC109177917,7.471579679,-1.610309963,0.482701651,-3.336035747,0.000849822,0.04063062
LOC109180955,8.498839014,0.765978147,0.228108899,3.357949425,0.00078523,0.04063062
LOC109181894,14.32159428,0.980868086,0.293589761,3.340947863,0.000834929,0.04063062
LOC109182028,5.396724054,1.330704497,0.399071534,3.334501174,0.000854525,0.04063062
LOC109182034,9.940393697,1.554691774,0.461654904,3.367649212,0.00075812,0.04063062
LOC109182068,22.02331957,0.777515561,0.231494749,3.358674718,0.000783172,0.04063062
LOC109186841,32.45998943,0.753530572,0.224133455,3.361972772,0.000773878,0.04063062
LOC109187423,14.75815181,-0.881883963,0.264124266,-3.338897927,0.000841115,0.04063062
LOC109190886,3.833444007,1.092835612,0.325970578,3.352559049,0.000800682,0.04063062
LOC109181624,5.658724608,-1.224337413,0.367795992,-3.32884925,0.000872056,0.041009987
LOC109171796,15.26398205,0.855922968,0.257814608,3.319916486,0.000900444,0.041970244
LOC109147683,8.117333146,0.880047472,0.2661321,3.306806924,0.000943659,0.042120784
LOC109156972,6.869536703,-1.073849499,0.324122031,-3.313102463,0.000922672,0.042120784
LOC109160165,17.10089596,1.317122654,0.398123373,3.308327877,0.000938549,0.042120784
LOC109170482,6.53147144,0.949081657,0.286998293,3.306924399,0.000943263,0.042120784
LOC109180314,18.4544937,0.663146628,0.200261915,3.31139662,0.000928315,0.042120784
LOC109165737,4.709011766,-1.55714022,0.472229433,-3.297423056,0.000975764,0.043187809
LOC109180504,13.02865181,0.785168775,0.238616176,3.290509415,0.001000062,0.043531605
LOC109183761,7.939542879,0.729463126,0.22161891,3.291520225,0.000996475,0.043531605
LOC109169439,4.803805474,-1.692143782,0.514786468,-3.287078986,0.001012324,0.0437042
LOC109161291,8.273426794,0.837406316,0.25495941,3.284469149,0.001021747,0.043752363
LOC109162015,31.78932043,0.741393696,0.226077344,3.279380769,0.001040352,0.044189774
LOC109158569,6.024055485,0.932936252,0.284689659,3.277028942,0.001049056,0.04420303
LOC109175629,15.72213203,-2.87883716,0.879783857,-3.272209574,0.001067104,0.044606659
LOC109151268,24.33119768,-0.805374677,0.246714843,-3.26439491,0.001096981,0.0454945
LOC109151260,10.20135364,-1.066276323,0.3275896,-3.254915057,0.001134263,0.046174823
LOC109151261,10.98098049,-2.068601738,0.635018487,-3.257545694,0.001123802,0.046174823
LOC109167108,19.01863416,-1.024943097,0.315022027,-3.253560096,0.001139686,0.046174823
LOC109149190,4.274331484,-1.420883289,0.437162391,-3.250241374,0.001153071,0.046360494
LOC109152882,9.645667153,-1.317065488,0.406643869,-3.238867192,0.001200054,0.046834163
LOC109163569,4.879538408,-2.376561685,0.732882862,-3.242757892,0.001183788,0.046834163
LOC109175755,22.47201615,0.70765689,0.218494872,3.23878031,0.00120042,0.046834163
LOC109181764,9.100614647,0.837948528,0.258487826,3.241733046,0.001188053,0.046834163
LOC109177897,19.87431031,-0.792181664,0.244960915,-3.233910452,0.001221077,0.047289812
LOC109181902,4.704641467,-1.344394737,0.416383355,-3.228742745,0.001243357,0.047537142
LOC109192592,8.434131475,0.828167872,0.256537967,3.228246807,0.001245515,0.047537142
LOC109186793,4.036121147,-2.441860528,0.757275895,-3.224532228,0.001261787,0.047811724
LOC109150506,12.79444219,0.685200411,0.212808076,3.219804539,0.00128278,0.047845144
LOC109170185,4.519323065,-1.22983068,0.381781976,-3.221290574,0.001276147,0.047845144
LOC109180521,58.42786078,0.701748654,0.218055385,3.218212899,0.00128992,0.047845144
LOC109192440,14.78068583,-0.734170875,0.228579655,-3.211881977,0.001318685,0.048570041
LOC109146814,25.65809413,-0.745757512,0.232375548,-3.20927705,0.001330692,0.048631305
LOC109175816,9.477704768,-2.041913432,0.636621267,-3.207422586,0.001339301,0.048631305
LOC109180477,9.834609883,0.873052213,0.272470956,3.204202845,0.00135437,0.048631305
LOC109187977,44.38562169,-1.091472394,0.340703471,-3.203584606,0.001357282,0.048631305
LOC109156430,3.760232789,1.172472655,0.366965387,3.195049712,0.001398068,0.049420281
LOC109186672,11.68253253,-1.216131482,0.380602158,-3.195282673,0.001396939,0.049420281
LOC109160777,6.58670041,-1.197530328,0.375321239,-3.190680951,0.001419379,0.049839137
